name,year,team,position,specific_position,rating,is_fired,is_promoted,is_assistant_hc,is_interim_hc,is_interim_coordinator
Josh McDaniels,2013,Patriots,Coordinator,Offensive Coordinator,7.5,,,,,
Matt Patricia,2013,Patriots,Coordinator,Defensive Coordinator,7.5,,,,,
Chad O'Shea,2013,Patriots,Position,Wide Receivers Coach,5,,,,,
Dante Scarnecchia,2013,Patriots,Position,Offensive Line Coach,5,,,1,,
Ivan Fears,2013,Patriots,Position,Running Backs Coach,5,,,,,
George Godsey,2013,Patriots,Position,Tight Ends Coach,5,,,,,
Pepper Johnson,2013,Patriots,Position,Defensive Line Coach,5,,,,,
Patrick Graham,2013,Patriots,Position,Linebackers Coach,5,,,,,
Brian Flores,2013,Patriots,Position,Safeties Coach,5,,,,,
Josh Boyer,2013,Patriots,Position,Cornerbacks Coach,5,,,,,
Bill Belichick,2014,Patriots,Head Coach,Head Coach,10,,,,,
Josh McDaniels,2014,Patriots,Coordinator,Offensive Coordinator,7.5,,,,,
Matt Patricia,2014,Patriots,Coordinator,Defensive Coordinator,7.5,,,,,
Chad O'Shea,2014,Patriots,Position,Wide Receivers Coach,5,,,,,
Dave DeGuglielmo,2014,Patriots,Position,Offensive Line Coach,5,,,,,
Ivan Fears,2014,Patriots,Position,Running Backs Coach,5,,,,,
Brian Daboll,2014,Patriots,Position,Tight Ends Coach,5,,,,,
Brendan Daly,2014,Patriots,Position,Defensive Line Coach,5,,,,,
Patrick Graham,2014,Patriots,Position,Linebackers Coach,5,,,,,
Brian Flores,2014,Patriots,Position,Safeties Coach,5,,,,,
Josh Boyer,2014,Patriots,Position,Cornerbacks Coach,5,,,,,
Sean Payton,2010,Saints,Head Coach,Head Coach,10,,,,,
Pete Carmichael Jr.,2010,Saints,Coordinator,Offensive Coordinator,7.5,,,,,
Gregg Williams,2010,Saints,Coordinator,Defensive Coordinator,7.5,,,,,
Greg McMahon,2010,Saints,Coordinator,Special Teams Coordinator,7.5,,,,,
Joe Lombardi,2010,Saints,Position,Quarterbacks Coach,5,,,,,
Carter Sheridan,2010,Saints,Position,Wide Receivers Coach,5,,,,,
Curtis Johnson,2010,Saints,Position,Wide Receivers Coach,5,,,,,
Aaron Kromer,2010,Saints,Position,Offensive Line Coach,5,,,,,
Bret Ingalls,2010,Saints,Position,Running Backs Coach,5,,,,,
Terry Malone,2010,Saints,Position,Tight Ends Coach,5,,,,,
Bill Johnson,2010,Saints,Position,Defensive Line Coach,5,,,,,
Joe Vitt,2010,Saints,Position,Linebackers Coach,5,,,1,,
Dennis Allen,2010,Saints,Position,Secondary Coach,5,,,,,
Sean Payton,2011,Saints,Head Coach,Head Coach,10,,,,,
Pete Carmichael Jr.,2011,Saints,Coordinator,Offensive Coordinator,7.5,,,,,
Gregg Williams,2011,Saints,Coordinator,Defensive Coordinator,7.5,,,,,
Greg McMahon,2011,Saints,Coordinator,Special Teams Coordinator,7.5,,,,,
Joe Lombardi,2011,Saints,Position,Quarterbacks Coach,5,,,,,
Carter Sheridan,2011,Saints,Position,Wide Receivers Coach,5,,,,,
Curtis Johnson,2011,Saints,Position,Wide Receivers Coach,5,,,,,
Aaron Kromer,2011,Saints,Position,Offensive Line Coach,5,,,,,
Bret Ingalls,2011,Saints,Position,Running Backs Coach,5,,,,,
Terry Malone,2011,Saints,Position,Tight Ends Coach,5,,,,,
Bill Johnson,2011,Saints,Position,Defensive Line Coach,5,,,,,
Joe Vitt,2011,Saints,Position,Linebackers Coach,5,,,1,,
Tony Oden,2011,Saints,Position,Secondary Coach,5,,,,,
Sean Payton,2012,Saints,Head Coach,Head Coach,10,,,,,
Pete Carmichael Jr.,2012,Saints,Coordinator,Offensive Coordinator,7.5,,,,,
Steve Spagnuolo,2012,Saints,Coordinator,Defensive Coordinator,7.5,,,,,
Greg McMahon,2012,Saints,Coordinator,Special Teams Coordinator,7.5,,,,,
Joe Lombardi,2012,Saints,Position,Quarterbacks Coach,5,,,,,
Carter Sheridan,2012,Saints,Position,Wide Receivers Coach,5,,,,,
Henry Ellard,2012,Saints,Position,Wide Receivers Coach,5,,,,,
Aaron Kromer,2012,Saints,Position,Offensive Line Coach,5,,1,,1,
Bret Ingalls,2012,Saints,Position,Running Backs Coach,5,,,,,
Terry Malone,2012,Saints,Position,Tight Ends Coach,5,,,,,
Bill Johnson,2012,Saints,Position,Defensive Line Coach,5,,,,,
Joe Vitt,2012,Saints,Position,Linebackers Coach,5,,1,1,1,
Ken Flajole,2012,Saints,Position,Defensive Backs Coach,5,,,,,
Sean Payton,2013,Saints,Head Coach,Head Coach,10,,,,,
Pete Carmichael Jr.,2013,Saints,Coordinator,Offensive Coordinator,7.5,,,,,
Rob Ryan,2013,Saints,Coordinator,Defensive Coordinator,7.5,,,,,
Greg McMahon,2013,Saints,Coordinator,Special Teams Coordinator,7.5,,,,,
Joe Lombardi,2013,Saints,Position,Quarterbacks Coach,5,,,,,
Carter Sheridan,2013,Saints,Position,Wide Receivers Coach,5,,,,,
Henry Ellard,2013,Saints,Position,Wide Receivers Coach,5,,,,,
Aaron Kromer,2013,Saints,Position,Offensive Line Coach,5,,,,,
Bret Ingalls,2013,Saints,Position,Running Backs Coach,5,,,,,
Terry Malone,2013,Saints,Position,Tight Ends Coach,5,,,,,
Bill Johnson,2013,Saints,Position,Defensive Line Coach,5,,,,,
Joe Vitt,2013,Saints,Position,Linebackers Coach,5,,,1,,
Brian Young,2013,Saints,Position,Linebackers Coach,5,,,,,
Wesley McGriff,2013,Saints,Position,Secondary Coach,5,,,,,
Sean Payton,2014,Saints,Head Coach,Head Coach,10,,,,,
Pete Carmichael Jr.,2014,Saints,Coordinator,Offensive Coordinator,7.5,,,,,
Rob Ryan,2014,Saints,Coordinator,Defensive Coordinator,7.5,,,,,
Greg McMahon,2014,Saints,Coordinator,Special Teams Coordinator,7.5,,,,,
Joe Lombardi,2014,Saints,Position,Quarterbacks Coach,5,,,,,
Carter Sheridan,2014,Saints,Position,Wide Receivers Coach,5,,,,,
Henry Ellard,2014,Saints,Position,Wide Receivers Coach,5,,,,,
Aaron Kromer,2014,Saints,Position,Offensive Line Coach,5,,,,,
Bret Ingalls,2014,Saints,Position,Running Backs Coach,5,,,,,
Terry Malone,2014,Saints,Position,Tight Ends Coach,5,,,,,
Bill Johnson,2014,Saints,Position,Defensive Line Coach,5,,,,,
Joe Vitt,2014,Saints,Position,Linebackers Coach,5,,,1,,
Brian Young,2014,Saints,Position,Linebackers Coach,5,,,,,
Wesley McGriff,2014,Saints,Position,Secondary Coach,5,,,,,
Tom Coughlin,2010,Giants,Head Coach,Head Coach,10,,,,,
Kevin Gilbride,2010,Giants,Coordinator,Offensive Coordinator,7.5,,,,,
Perry Fewell,2010,Giants,Coordinator,Defensive Coordinator,7.5,,,,,
Tom Quinn,2010,Giants,Coordinator,Special Teams Coordinator,7.5,,,,,
Mike Sullivan,2010,Giants,Position,Quarterbacks Coach,5,,,,,
Sean Ryan,2010,Giants,Position,Wide Receivers Coach,5,,,,,
Pat Flaherty,2010,Giants,Position,Offensive Line Coach,5,,,,,
"Jack Bicknell, Jr.",2010,Giants,Position,Offensive Line Coach,5,,,,,
Jerald Ingram,2010,Giants,Position,Running Backs Coach,5,,,,,
Mike Pope,2010,Giants,Position,Tight Ends Coach,5,,,,,
Kevin Gilbride Jr.,2010,Giants,Quality Control,Offensive Quality Control Coach,2.5,,,,,
Robert Nunn,2010,Giants,Position,Defensive Line Coach,5,,,,,
Jim Hermann,2010,Giants,Position,Linebackers Coach,5,,,,,
"David Merritt, Sr.",2010,Giants,Position,Secondary Coach-Safeties,5,,,,,
Peter Giunta,2010,Giants,Position,Secondary Coach-Cornerbacks,5,,,,,
Joe Kim,2010,Giants,Position,Pass Rush Consultant,5,,,,,
Al Holcomb,2010,Giants,Quality Control,Defensive Quality Control Coach,2.5,,,,,
Tom Coughlin,2011,Giants,Head Coach,Head Coach,10,,,,,
Kevin Gilbride,2011,Giants,Coordinator,Offensive Coordinator,7.5,,,,,
Perry Fewell,2011,Giants,Coordinator,Defensive Coordinator,7.5,,,,,
Tom Quinn,2011,Giants,Coordinator,Special Teams Coordinator,7.5,,,,,
Mike Sullivan,2011,Giants,Position,Quarterbacks Coach,5,,,,,
Sean Ryan,2011,Giants,Position,Wide Receivers Coach,5,,,,,
Pat Flaherty,2011,Giants,Position,Offensive Line Coach,5,,,,,
"Jack Bicknell, Jr.",2011,Giants,Position,Offensive Line Coach,5,,,,,
Jerald Ingram,2011,Giants,Position,Running Backs Coach,5,,,,,
Mike Pope,2011,Giants,Position,Tight Ends Coach,5,,,,,
Robert Nunn,2011,Giants,Position,Defensive Line Coach,5,,,,,
Jim Hermann,2011,Giants,Position,Linebackers Coach,5,,,,,
"David Merritt, Sr.",2011,Giants,Position,Secondary Coach-Safeties,5,,,,,
Peter Giunta,2011,Giants,Position,Secondary Coach-Cornerbacks,5,,,,,
Tom Coughlin,2012,Giants,Head Coach,Head Coach,10,,,,,
Kevin Gilbride,2012,Giants,Coordinator,Offensive Coordinator,7.5,,,,,
Perry Fewell,2012,Giants,Coordinator,Defensive Coordinator,7.5,,,,,
Tom Quinn,2012,Giants,Coordinator,Special Teams Coordinator,7.5,,,,,
Sean Ryan,2012,Giants,Position,Quarterbacks Coach,5,,,,,
Kevin Gilbride Jr.,2012,Giants,Position,Wide Receivers Coach,5,,,,,
Pat Flaherty,2012,Giants,Position,Offensive Line Coach,5,,,,,
Jerald Ingram,2012,Giants,Position,Running Backs Coach,5,,,,,
Mike Pope,2012,Giants,Position,Tight Ends Coach,5,,,,,
Robert Nunn,2012,Giants,Position,Defensive Line Coach,5,,,,,
Jim Hermann,2012,Giants,Position,Linebackers Coach,5,,,,,
"David Merritt, Sr.",2012,Giants,Position,Secondary Coach-Safeties,5,,,,,
Peter Giunta,2012,Giants,Position,Secondary Coach-Cornerbacks,5,,,,,
Tom Coughlin,2013,Giants,Head Coach,Head Coach,10,,,,,
Kevin Gilbride,2013,Giants,Coordinator,Offensive Coordinator,7.5,,,,,
Perry Fewell,2013,Giants,Coordinator,Defensive Coordinator,7.5,,,,,
Tom Quinn,2013,Giants,Coordinator,Special Teams Coordinator,7.5,,,,,
Sean Ryan,2013,Giants,Position,Quarterbacks Coach,5,,,,,
Kevin Gilbride Jr.,2013,Giants,Position,Wide Receivers Coach,5,,,,,
Pat Flaherty,2013,Giants,Position,Offensive Line Coach,5,,,,,
Jerald Ingram,2013,Giants,Position,Running Backs Coach,5,,,,,
Mike Pope,2013,Giants,Position,Tight Ends Coach,5,,,,,
Robert Nunn,2013,Giants,Position,Defensive Line Coach,5,,,,,
Jim Hermann,2013,Giants,Position,Linebackers Coach,5,,,,,
"David Merritt, Sr.",2013,Giants,Position,Secondary Coach-Safeties,5,,,,,
Peter Giunta,2013,Giants,Position,Secondary Coach-Cornerbacks,5,,,,,
Tom Coughlin,2014,Giants,Head Coach,Head Coach,10,,,,,
Ben McAdoo,2014,Giants,Coordinator,Offensive Coordinator,7.5,,,,,
Perry Fewell,2014,Giants,Coordinator,Defensive Coordinator,7.5,,,,,
Tom Quinn,2014,Giants,Coordinator,Special Teams Coordinator,7.5,,,,,
Danny Langsdorf,2014,Giants,Position,Quarterbacks Coach,5,,,,,
Sean Ryan,2014,Giants,Position,Wide Receivers Coach,5,,,,,
Pat Flaherty,2014,Giants,Position,Offensive Line Coach,5,,,,,
Craig Johnson,2014,Giants,Position,Running Backs Coach,5,,,,,
Kevin Gilbride Jr.,2014,Giants,Position,Tight Ends Coach,5,,,,,
Robert Nunn,2014,Giants,Position,Defensive Line Coach,5,,,,,
Jim Hermann,2014,Giants,Position,Linebackers Coach,5,,,,,
"David Merritt, Sr.",2014,Giants,Position,Secondary Coach-Safeties,5,,,,,
Peter Giunta,2014,Giants,Position,Secondary Coach-Cornerbacks,5,,,,,
Rex Ryan,2010,Jets,Head Coach,Head Coach,10,,,,,
Brian Schottenheimer,2010,Jets,Coordinator,Offensive Coordinator,7.5,,,,,
Mike Pettine,2010,Jets,Coordinator,Defensive Coordinator,7.5,,,,,
Mike Westhoff,2010,Jets,Coordinator,Special Teams Coordinator,7.5,,,,,
Matt Cavanaugh,2010,Jets,Position,Quarterbacks Coach,5,,,,,
Henry Ellard,2010,Jets,Position,Wide Receivers Coach,5,,,,,
Bill Callahan,2010,Jets,Position,Offensive Line Coach,5,,,1,,
Anthony Lynn,2010,Jets,Position,Running Backs Coach,5,,,,,
Mike Devlin,2010,Jets,Position,Tight Ends Coach,5,,,,,
Mark Carrier,2010,Jets,Position,Defensive Line Coach,5,,,,,
Bob Sutton,2010,Jets,Position,Linebackers Coach,5,,,,,
Jeff Weeks,2010,Jets,Position,Outside Linebackers Coach,5,,,,,
Dennis Thurman,2010,Jets,Position,Secondary Coach,5,,,,,
Rex Ryan,2011,Jets,Head Coach,Head Coach,10,,,,,
Brian Schottenheimer,2011,Jets,Coordinator,Offensive Coordinator,7.5,,,,,
Mike Pettine,2011,Jets,Coordinator,Defensive Coordinator,7.5,,,,,
Mike Westhoff,2011,Jets,Coordinator,Special Teams Coordinator,7.5,,,,,
Matt Cavanaugh,2011,Jets,Position,Quarterbacks Coach,5,,,,,
Henry Ellard,2011,Jets,Position,Wide Receivers Coach,5,,,,,
Bill Callahan,2011,Jets,Position,Offensive Line Coach,5,,,1,,
Anthony Lynn,2011,Jets,Position,Running Backs Coach,5,,,,,
Mike Devlin,2011,Jets,Position,Tight Ends Coach,5,,,,,
Lance Taylor,2011,Jets,Quality Control,Offensive Quality Control Coach,2.5,,,,,
Mark Carrier,2011,Jets,Position,Defensive Line Coach,5,,,,,
Bob Sutton,2011,Jets,Position,Linebackers Coach,5,,,,,
Jeff Weeks,2011,Jets,Position,Outside Linebackers Coach,5,,,,,
Dennis Thurman,2011,Jets,Position,Secondary Coach,5,,,,,
Brian Smith,2011,Jets,Quality Control,Defensive Quality Control Coach,2.5,,,,,
Rex Ryan,2012,Jets,Head Coach,Head Coach,10,,,,,
Tony Sparano,2012,Jets,Coordinator,Offensive Coordinator,7.5,,,,,
Mike Pettine,2012,Jets,Coordinator,Defensive Coordinator,7.5,,,,,
Mike Westhoff,2012,Jets,Coordinator,Special Teams Coordinator,7.5,,,,,
Matt Cavanaugh,2012,Jets,Position,Quarterbacks Coach,5,,,,,
Sanjay Lal,2012,Jets,Position,Wide Receivers Coach,5,,,,,
Dave DeGuglielmo,2012,Jets,Position,Offensive Line Coach,5,,,,,
Anthony Lynn,2012,Jets,Position,Running Backs Coach,5,,,,,
Mike Devlin,2012,Jets,Position,Tight Ends Coach,5,,,,,
Lance Taylor,2012,Jets,Quality Control,Offensive Quality Control Coach,2.5,,,,,
Karl Dunbar,2012,Jets,Position,Defensive Line Coach,5,,,,,
Bob Sutton,2012,Jets,Position,Linebackers Coach,5,,,1,,
Mike Smith,2012,Jets,Position,Outside Linebackers Coach,5,,,,,
Jeff Weeks,2012,Jets,Position,Outside Linebackers Coach,5,,,,,
Dennis Thurman,2012,Jets,Position,Secondary Coach,5,,,,,
Brian Smith,2012,Jets,Quality Control,Defensive Quality Control Coach,2.5,,,,,
Rex Ryan,2013,Jets,Head Coach,Head Coach,10,,,,,
Marty Mornhinweg,2013,Jets,Coordinator,Offensive Coordinator,7.5,,,,,
Dennis Thurman,2013,Jets,Coordinator,Defensive Coordinator,7.5,,,,,
Ben Kotwica,2013,Jets,Coordinator,Special Teams Coordinator,7.5,,,,,
David Lee,2013,Jets,Position,Quarterbacks Coach,5,,,,,
Sanjay Lal,2013,Jets,Position,Wide Receivers Coach,5,,,,,
Mike Devlin,2013,Jets,Position,Offensive Line Coach,5,,,,,
Anthony Lynn,2013,Jets,Position,Running Backs Coach,5,,,1,,
Steve Hagen,2013,Jets,Position,Tight Ends Coach,5,,,,,
Karl Dunbar,2013,Jets,Position,Defensive Line Coach,5,,,,,
Brian VanGorder,2013,Jets,Position,Linebackers Coach,5,,,,,
Jeff Weeks,2013,Jets,Position,Linebackers Coach,5,,,,,
Tim McDonald,2013,Jets,Position,Defensive Backs Coach,5,,,,,
Rex Ryan,2014,Jets,Head Coach,Head Coach,10,,,,,
Marty Mornhinweg,2014,Jets,Coordinator,Offensive Coordinator,7.5,,,,,
Dennis Thurman,2014,Jets,Coordinator,Defensive Coordinator,7.5,,,,,
Thomas McGaughey,2014,Jets,Coordinator,Special Teams Coordinator,7.5,,,,,
David Lee,2014,Jets,Position,Quarterbacks Coach,5,,,,,
Sanjay Lal,2014,Jets,Position,Wide Receivers Coach,5,,,,,
Mike Devlin,2014,Jets,Position,Offensive Line Coach,5,,,,,
Anthony Lynn,2014,Jets,Position,Running Backs Coach,5,,,1,,
Steve Hagen,2014,Jets,Position,Tight Ends Coach,5,,,,,
Karl Dunbar,2014,Jets,Position,Defensive Line Coach,5,,,,,
Bobby April III,2014,Jets,Position,Linebackers Coach,5,,,,,
Tim McDonald,2014,Jets,Position,Defensive Backs Coach,5,,,,,
Tom Cable,2010,Raiders,Head Coach,Head Coach,10,,,,,
Hue Jackson,2010,Raiders,Coordinator,Offensive Coordinator,7.5,,,,,
John Marshall,2010,Raiders,Coordinator,Defensive Coordinator,7.5,,,,,
John Fassel,2010,Raiders,Coordinator,Special Teams Coordinator,7.5,,,,,
Ted Tollner,2010,Raiders,Position,Offensive Pass Game Coordinator,5,,,,,
Paul Hackett,2010,Raiders,Position,Quarterbacks Coach,5,,,,,
Sanjay Lal,2010,Raiders,Position,Wide Receivers Coach,5,,,,,
Jim Michalczik,2010,Raiders,Position,Offensive Line Coach,5,,,,,
Kelly Skipper,2010,Raiders,Position,Running Backs Coach,5,,,,,
Adam Henry,2010,Raiders,Position,Tight Ends Coach,5,,,,,
Chris Morgan,2010,Raiders,Position,Offensive Line Coach,5,,,,,
Eric Sanders,2010,Raiders,Quality Control,Offensive Quality Control Coach,2.5,,,,,
Mike Waufle,2010,Raiders,Position,Defensive Line Coach,5,,,,,
Mike Haluchak,2010,Raiders,Position,Linebackers Coach,5,,,,,
Kevin Ross,2010,Raiders,Position,Safeties Coach,5,,,,,
Lionel Washington,2010,Raiders,Position,Defensive Backs Coach,5,,,,,
Hue Jackson,2011,Raiders,Head Coach,Head Coach,10,,,,,
Al Saunders,2011,Raiders,Coordinator,Offensive Coordinator,7.5,,,,,
Chuck Bresnahan,2011,Raiders,Coordinator,Defensive Coordinator,7.5,,,,,
John Fassel,2011,Raiders,Coordinator,Special Teams Coordinator,7.5,,,,,
Sanjay Lal,2011,Raiders,Position,Wide Receivers Coach,5,,,,,
Bob Wylie,2011,Raiders,Position,Offensive Line Coach,5,,,,,
Kelly Skipper,2011,Raiders,Position,Running Backs Coach,5,,,,,
Adam Henry,2011,Raiders,Position,Tight Ends Coach,5,,,,,
Eric Sanders,2011,Raiders,Quality Control,Offensive Quality Control Coach,2.5,,,,,
Mike Waufle,2011,Raiders,Position,Defensive Line Coach,5,,,,,
Greg Biekert,2011,Raiders,Position,Linebackers Coach,5,,,,,
Kevin Ross,2011,Raiders,Position,Safeties Coach,5,,,,,
Rod Woodson,2011,Raiders,Position,Cornerbacks Coach,5,,,,,
Dennis Allen,2012,Raiders,Head Coach,Head Coach,10,,,,,
Greg Knapp,2012,Raiders,Coordinator,Offensive Coordinator,7.5,,,,,
Jason Tarver,2012,Raiders,Coordinator,Defensive Coordinator,7.5,,,,,
Steve Hoffman,2012,Raiders,Coordinator,Special Teams Coordinator,7.5,,,,,
John DeFilippo,2012,Raiders,Position,Quarterbacks Coach,5,,,,,
Ted Gilmore,2012,Raiders,Position,Wide Receivers Coach,5,,,,,
Frank Pollack,2012,Raiders,Position,Offensive Line Coach,5,,,,,
Kelly Skipper,2012,Raiders,Position,Running Backs Coach,5,,,,,
Mark Hutson,2012,Raiders,Position,Tight Ends Coach,5,,,,,
Justin Griffith,2012,Raiders,Quality Control,Offensive Quality Control Coach,2.5,,,,,
Terrell Williams,2012,Raiders,Position,Defensive Line Coach,5,,,,,
Johnny Holland,2012,Raiders,Position,Linebackers Coach,5,,,,,
Johnnie Lynn,2012,Raiders,Position,Defensive Backs Coach,5,,,,,
Clayton Lopez,2012,Raiders,Position,Defensive Backs Coach,5,,,,,
Eric Sanders,2012,Raiders,Quality Control,Defensive Quality Control Coach,2.5,,,,,
Dennis Allen,2013,Raiders,Head Coach,Head Coach,10,,,,,
Greg Olson,2013,Raiders,Coordinator,Offensive Coordinator,7.5,,,,,
Jason Tarver,2013,Raiders,Coordinator,Defensive Coordinator,7.5,,,,,
Bobby April,2013,Raiders,Coordinator,Special Teams Coordinator,7.5,,,,,
John DeFilippo,2013,Raiders,Position,Quarterbacks Coach,5,,,,,
Ted Gilmore,2013,Raiders,Position,Wide Receivers Coach,5,,,,,
Tony Sparano,2013,Raiders,Position,Offensive Line Coach,5,,,1,,
Kelly Skipper,2013,Raiders,Position,Running Backs Coach,5,,,,,
Mark Hutson,2013,Raiders,Position,Tight Ends Coach,5,,,,,
Justin Griffith,2013,Raiders,Quality Control,Offensive Quality Control Coach,2.5,,,,,
Terrell Williams,2013,Raiders,Position,Defensive Line Coach,5,,,,,
Bob Sanders,2013,Raiders,Position,Linebackers Coach,5,,,,,
Johnnie Lynn,2013,Raiders,Position,Defensive Backs Coach,5,,,,,
Clayton Lopez,2013,Raiders,Position,Defensive Backs Coach,5,,,,,
Eric Sanders,2013,Raiders,Quality Control,Defensive Quality Control Coach,2.5,,,,,
Dennis Allen,2014,Raiders,Head Coach,Head Coach,10,1,,,,
Greg Olson,2014,Raiders,Coordinator,Offensive Coordinator,7.5,,,,,
Jason Tarver,2014,Raiders,Coordinator,Defensive Coordinator,7.5,,,,,
Bobby April,2014,Raiders,Coordinator,Special Teams Coordinator,7.5,,,,,
John DeFilippo,2014,Raiders,Position,Quarterbacks Coach,5,,,,,
Ted Gilmore,2014,Raiders,Position,Wide Receivers Coach,5,,,,,
Tony Sparano,2014,Raiders,Position,Offensive Line Coach,5,,1,1,1,
Kelly Skipper,2014,Raiders,Position,Running Backs Coach,5,,,,,
Mark Hutson,2014,Raiders,Position,Tight Ends Coach,5,,,,,
Justin Griffith,2014,Raiders,Quality Control,Offensive Quality Control Coach,2.5,,,,,
Terrell Williams,2014,Raiders,Position,Defensive Line Coach,5,,,,,
Bob Sanders,2014,Raiders,Position,Linebackers Coach,5,,,,,
Joe Woods,2014,Raiders,Position,Defensive Backs Coach,5,,,,,
Johnnie Lynn,2014,Raiders,Position,Defensive Backs Coach,5,,,,,
Clayton Lopez,2014,Raiders,Position,Defensive Backs Coach,5,,,,,
Eric Sanders,2014,Raiders,Quality Control,Defensive Quality Control Coach,2.5,,,,,
Andy Reid,2010,Eagles,Head Coach,Head Coach,10,,,,,
Marty Mornhinweg,2010,Eagles,Coordinator,Offensive Coordinator,7.5,,,,,
Sean McDermott,2010,Eagles,Coordinator,Defensive Coordinator,7.5,,,,,
Bobby April,2010,Eagles,Coordinator,Special Teams Coordinator,7.5,,,,,
James Urban,2010,Eagles,Position,Quarterbacks Coach,5,,,,,
David Culley,2010,Eagles,Position,Wide Receivers Coach,5,,,,,
Juan Castillo,2010,Eagles,Position,Offensive Line Coach,5,,,,,
Ted Williams,2010,Eagles,Position,Running Backs Coach,5,,,,,
Tom Melvin,2010,Eagles,Position,Tight Ends Coach,5,,,,,
Doug Pederson,2010,Eagles,Quality Control,Offensive Quality Control Coach,2.5,,,,,
Rory Segrest,2010,Eagles,Position,Defensive Line Coach,5,,,,,
Bill Shuey,2010,Eagles,Position,Linebackers Coach,5,,,,,
Dick Jauron,2010,Eagles,Position,Defensive Backs Coach,5,,,,,
Michael Zordich,2010,Eagles,Quality Control,Defensive Quality Control Coach,2.5,,,,,
Andy Reid,2011,Eagles,Head Coach,Head Coach,10,,,,,
Marty Mornhinweg,2011,Eagles,Coordinator,Offensive Coordinator,7.5,,,,,
Juan Castillo,2011,Eagles,Coordinator,Defensive Coordinator,7.5,,,,,
Bobby April,2011,Eagles,Coordinator,Special Teams Coordinator,7.5,,,,,
Doug Pederson,2011,Eagles,Position,Quarterbacks Coach,5,,,,,
David Culley,2011,Eagles,Position,Wide Receivers Coach,5,,,,,
Howard Mudd,2011,Eagles,Position,Offensive Line Coach,5,,,,,
Ted Williams,2011,Eagles,Position,Running Backs Coach,5,,,,,
Tom Melvin,2011,Eagles,Position,Tight Ends Coach,5,,,,,
Matt Nagy,2011,Eagles,Position,Offensive Quality Control Coach,5,,,,,
Jim Washburn,2011,Eagles,Position,Defensive Line Coach,5,,,,,
Mike Caldwell,2011,Eagles,Position,Linebackers Coach,5,,,,,
Michael Zordich,2011,Eagles,Position,Safeties Coach,5,,,,,
